dmel_cre_id	chrom	start0	end0	peak_amplitude	scrmshaw_score	fbgn_target_genes	n_fbgn_target_genes	training_set	method	rank
DMEL_CRE_00210	NT_033778.4	14174340	14175240	321.0	17.2704	FBgn0000289|FBgn0033907	2	adult_muscle	imm	66
DMEL_CRE_00211	NT_033778.4	14765470	14766370	341.0	19.3479	FBgn0020767|FBgn0259112	2	adult_muscle	imm	62
DMEL_CRE_00212	NT_033778.4	15112640	15113440	391.2	18.9374	FBgn0015371|FBgn0265650	2	adult_muscle	imm	46
DMEL_CRE_00213	NT_033778.4	15349190	15349860	174.5	14.4765	FBgn0034013|FBgn0034012	2	adult_muscle	imm	142
DMEL_CRE_00214	NT_033778.4	15654800	15655390	91.3	14.4847	FBgn0260429	1	adult_muscle	imm	248
DMEL_CRE_00215	NT_033778.4	16102930	16103530	124.3	12.9225	FBgn0014020|FBgn0034073	2	adult_muscle	imm	197
DMEL_CRE_00216	NT_033778.4	16162850	16163430	91.2	14.5926	FBgn0034083|FBgn0034082	2	adult_muscle	imm	249
DMEL_CRE_00217	NT_033778.4	16330870	16331830	596.7	22.7495	FBgn0287825|FBgn0010611	2	adult_muscle	imm	18
DMEL_CRE_00218	NT_033778.4	16810190	16810910	215.7	12.4576	FBgn0265658|FBgn0265529	2	adult_muscle	imm	111
DMEL_CRE_00219	NT_033778.4	16819870	16820450	89.6	12.2169	FBgn0263336	1	adult_muscle	imm	253
DMEL_CRE_00220	NT_033778.4	17353490	17354080	85.2	11.5762	FBgn0265487|FBgn0265444	2	adult_muscle	imm	261
DMEL_CRE_00221	NT_033778.4	17458520	17459240	205.0	14.6888	FBgn0028953|FBgn0024196	2	adult_muscle	imm	119
DMEL_CRE_00222	NT_033778.4	17836040	17836650	129.9	15.1155	FBgn0259211|FBgn0041585	2	adult_muscle	imm	191
DMEL_CRE_00223	NT_033778.4	20111040	20111720	221.7	16.3708	FBgn0287775|FBgn0265844	2	adult_muscle	imm	106
DMEL_CRE_00224	NT_033778.4	20195580	20196200	79.9	11.0957	FBgn0034483|FBgn0266972	2	adult_muscle	imm	269
DMEL_CRE_00225	NT_033778.4	20499260	20499800	54.9	11.9403	FBgn0034509|FBgn0043534	2	adult_muscle	imm	336
DMEL_CRE_00226	NT_033778.4	21573120	21573810	200.8	12.7654	FBgn0034636|FBgn0050222	2	adult_muscle	imm	128
DMEL_CRE_00227	NT_033778.4	22269000	22269550	64.0	11.498	FBgn0020307|FBgn0263341	2	adult_muscle	imm	298
DMEL_CRE_00228	NT_033778.4	22270620	22271180	57.2	12.9588	FBgn0020307|FBgn0263341	2	adult_muscle	imm	330
DMEL_CRE_00229	NT_033778.4	22311660	22312370	233.0	16.3518	FBgn0034718|FBgn0265979	2	adult_muscle	imm	100
DMEL_CRE_00230	NT_033778.4	22335630	22336270	157.4	12.1426	FBgn0034720|FBgn0085237	2	adult_muscle	imm	158
DMEL_CRE_00231	NT_033778.4	22402570	22403330	191.6	13.2006	FBgn0265981|FBgn0034724	2	adult_muscle	imm	133
DMEL_CRE_00232	NT_033778.4	22513740	22514590	304.0	13.5401	FBgn0003175|FBgn0034735	2	adult_muscle	imm	72
DMEL_CRE_00233	NT_033778.4	22684350	22685180	384.4	17.0283	FBgn0020257|FBgn0265983	2	adult_muscle	imm	50
DMEL_CRE_00234	NT_033778.4	23644270	23644940	116.4	12.9314	FBgn0004795|FBgn0266646	2	adult_muscle	imm	214
DMEL_CRE_00235	NT_033778.4	24011190	24011790	137.6	16.2782	FBgn0053519|FBgn0034956	2	adult_muscle	imm	184
DMEL_CRE_00236	NT_033778.4	24045730	24046580	144.6	13.5729	FBgn0011726|FBgn0034964	2	adult_muscle	imm	178
DMEL_CRE_00237	NT_033778.4	24063340	24064240	386.5	15.0076	FBgn0283666|FBgn0023170	2	adult_muscle	imm	48
DMEL_CRE_00238	NT_033779.5	1629080	1629730	215.0	16.1472	FBgn0265814|FBgn0021906	2	adult_muscle	imm	112
DMEL_CRE_00239	NT_033779.5	2394500	2395330	592.0	26.5342	FBgn0287218|FBgn0264081	2	adult_muscle	imm	20
DMEL_CRE_00240	NT_033779.5	2530090	2530800	280.4	15.3874	FBgn0264943|FBgn0267738	2	adult_muscle	imm	83
DMEL_CRE_00241	NT_033779.5	2799400	2800160	361.4	17.2883	FBgn0004242|FBgn0264369	2	adult_muscle	imm	56
DMEL_CRE_00242	NT_033779.5	3655600	3656420	228.7	13.9638	FBgn0000721|FBgn0085369	2	adult_muscle	imm	103
DMEL_CRE_00243	NT_033779.5	4053410	4054320	360.0	20.3964	FBgn0000547|FBgn0266319	2	adult_muscle	imm	57
DMEL_CRE_00244	NT_033779.5	4749860	4750470	150.7	15.4917	FBgn0031627|FBgn0260428	2	adult_muscle	imm	172
DMEL_CRE_00245	NT_033779.5	4787770	4788370	105.8	14.5308	FBgn0031627|FBgn0031628	2	adult_muscle	imm	224
DMEL_CRE_00246	NT_033779.5	4891550	4892350	245.0	10.163	FBgn0031645|FBgn0031644	2	adult_muscle	imm	97
DMEL_CRE_00247	NT_033779.5	5092910	5093520	84.3	11.7368	FBgn0031681|FBgn0031682	2	adult_muscle	imm	262
DMEL_CRE_00248	NT_033779.5	6586860	6587460	116.5	13.1419	FBgn0031835|FBgn0031834	2	adult_muscle	imm	213
DMEL_CRE_00249	NT_033779.5	6611140	6611810	61.7	11.1725	FBgn0031836|FBgn0031837	2	adult_muscle	imm	308
DMEL_CRE_00250	NT_033779.5	7038250	7038920	102.9	11.6565	FBgn0262872|FBgn0031883	2	adult_muscle	imm	228
DMEL_CRE_00251	NT_033779.5	7928890	7929440	63.2	11.3174	FBgn0085450|FBgn0053121	2	adult_muscle	imm	301
DMEL_CRE_00252	NT_033779.5	8083330	8083970	154.2	13.7238	FBgn0261822|FBgn0266795	2	adult_muscle	imm	162
DMEL_CRE_00253	NT_033779.5	8325050	8325700	117.6	12.7149	FBgn0032021|FBgn0032022	2	adult_muscle	imm	210
DMEL_CRE_00254	NT_033779.5	8638480	8639020	56.5	13.0438	FBgn0011259	1	adult_muscle	imm	333
DMEL_CRE_00255	NT_033779.5	9190020	9190640	76.7	12.0968	FBgn0041092|FBgn0032101	2	adult_muscle	imm	278
DMEL_CRE_00256	NT_033779.5	9228210	9228940	313.1	20.1536	FBgn0041092|FBgn0032104	2	adult_muscle	imm	69
DMEL_CRE_00257	NT_033779.5	9558850	9559410	74.0	11.6457	FBgn0287599	1	adult_muscle	imm	284
DMEL_CRE_00258	NT_033779.5	9752420	9753020	120.4	12.2726	FBgn0015035|FBgn0270924	2	adult_muscle	imm	205
DMEL_CRE_00259	NT_033779.5	9907920	9908480	63.0	11.5228	FBgn0032156|FBgn0032157	2	adult_muscle	imm	303
DMEL_CRE_00260	NT_033779.5	10259700	10260680	704.7	17.0441	FBgn0026379|FBgn0011305	2	adult_muscle	imm	10
DMEL_CRE_00261	NT_033779.5	10320500	10321080	95.8	11.5873	FBgn0032218|FBgn0032219	2	adult_muscle	imm	240
DMEL_CRE_00262	NT_033779.5	10927130	10927840	309.1	18.091	FBgn0261871|FBgn0032318	2	adult_muscle	imm	71
DMEL_CRE_00263	NT_033779.5	12288280	12289220	701.4	20.8644	FBgn0000114|FBgn0266820	2	adult_muscle	imm	11
DMEL_CRE_00264	NT_033779.5	12296300	12296980	179.3	12.6135	FBgn0000114|FBgn0266820	2	adult_muscle	imm	138
DMEL_CRE_00265	NT_033779.5	13457200	13457800	112.0	13.1558	FBgn0263354|FBgn0261991	2	adult_muscle	imm	217
DMEL_CRE_00266	NT_033779.5	13489350	13490320	532.2	23.1352	FBgn0284224	1	adult_muscle	imm	25
DMEL_CRE_00267	NT_033779.5	13554600	13555400	205.4	13.1159	FBgn0259984|FBgn0023407	2	adult_muscle	imm	117
DMEL_CRE_00268	NT_033779.5	13970590	13971390	278.9	10.7158	FBgn0028936|FBgn0028542	2	adult_muscle	imm	84
DMEL_CRE_00269	NT_033779.5	14095460	14096020	78.7	12.6787	FBgn0028875|FBgn0283651	2	adult_muscle	imm	275
DMEL_CRE_00270	NT_033779.5	14560560	14561160	99.6	10.8257	FBgn0266149|FBgn0266148	2	adult_muscle	imm	231
DMEL_CRE_00271	NT_033779.5	15761630	15762410	344.2	16.4298	FBgn0001987|FBgn0028507	2	adult_muscle	imm	59
DMEL_CRE_00272	NT_033779.5	16284510	16285160	206.0	16.1008	FBgn0001994|FBgn0040079	2	adult_muscle	imm	115
DMEL_CRE_00273	NT_033779.5	16485870	16486550	201.1	13.8356	FBgn0005677|FBgn0032585	2	adult_muscle	imm	126
DMEL_CRE_00274	NT_033779.5	16635750	16636320	61.7	11.3476	FBgn0259735|FBgn0265000	2	adult_muscle	imm	307
DMEL_CRE_00275	NT_033779.5	16760700	16762600	1503.8	48.5812	FBgn0032602|FBgn0032601	2	adult_muscle	imm	5
DMEL_CRE_00276	NT_033779.5	16763230	16764290	1812.0	54.3491	FBgn0264695|FBgn0032602	2	adult_muscle	imm	3
DMEL_CRE_00277	NT_033779.5	16764940	16765980	1090.1	28.6842	FBgn0264695|FBgn0032602	2	adult_muscle	imm	7
DMEL_CRE_00278	NT_033779.5	16767390	16768820	1193.6	34.2104	FBgn0264695|FBgn0032602	2	adult_muscle	imm	6
DMEL_CRE_00279	NT_033779.5	18480370	18481150	201.8	13.3615	FBgn0032681|FBgn0032682	2	adult_muscle	imm	124
DMEL_CRE_00280	NT_033779.5	19609020	19609660	219.4	18.8581	FBgn0267964	1	adult_muscle	imm	108
DMEL_CRE_00281	NT_033779.5	20093930	20094870	659.2	15.0692	FBgn0032848|FBgn0032847	2	adult_muscle	imm	15
DMEL_CRE_00282	NT_033779.5	21489280	21490240	456.3	11.3622	FBgn0053836|FBgn0053835	2	adult_muscle	imm	39
DMEL_CRE_00283	NT_033779.5	21494320	21495280	466.9	11.3662	FBgn0053885|FBgn0053838	2	adult_muscle	imm	36
DMEL_CRE_00284	NT_033779.5	21504420	21505380	475.1	11.1682	FBgn0053881|FBgn0053844	2	adult_muscle	imm	31
DMEL_CRE_00285	NT_033779.5	21509470	21510430	468.9	11.8199	FBgn0053848|FBgn0053847	2	adult_muscle	imm	34
DMEL_CRE_00286	NT_033779.5	21514510	21515470	464.1	11.255	FBgn0053851|FBgn0053850	2	adult_muscle	imm	38
DMEL_CRE_00287	NT_033779.5	22765540	22766120	58.6	10.7347	FBgn0058006|FBgn0264548	2	adult_muscle	imm	327
DMEL_CRE_00288	NT_037436.4	542860	543650	272.7	14.3518	FBgn0035142|FBgn0035141	2	adult_muscle	imm	88
DMEL_CRE_00289	NT_037436.4	1076730	1077430	144.9	12.3704	FBgn0004870|FBgn0035181	2	adult_muscle	imm	177
DMEL_CRE_00290	NT_037436.4	2114320	2115000	228.7	13.5996	FBgn0086906|FBgn0052311	2	adult_muscle	imm	102
DMEL_CRE_00291	NT_037436.4	2635730	2636540	319.4	15.4409	FBgn0250911|FBgn0267220	2	adult_muscle	imm	67
DMEL_CRE_00292	NT_037436.4	2817700	2818300	89.1	12.5123	FBgn0263392	1	adult_muscle	imm	254
DMEL_CRE_00293	NT_037436.4	3246230	3246820	63.0	11.0267	FBgn0266973|FBgn0263246	2	adult_muscle	imm	304
DMEL_CRE_00294	NT_037436.4	3433730	3434590	474.6	17.3952	FBgn0026259|FBgn0014388	2	adult_muscle	imm	32
DMEL_CRE_00295	NT_037436.4	3876630	3877420	364.1	16.1205	FBgn0264518	1	adult_muscle	imm	55
DMEL_CRE_00296	NT_037436.4	3964370	3964950	121.2	15.183	FBgn0035481|FBgn0264516	2	adult_muscle	imm	204
DMEL_CRE_00297	NT_037436.4	4001000	4001610	166.1	16.1836	FBgn0035482|FBgn0004880	2	adult_muscle	imm	150
DMEL_CRE_00298	NT_037436.4	4233410	4233950	58.6	13.5735	FBgn0001257|FBgn0287590	2	adult_muscle	imm	325
DMEL_CRE_00299	NT_037436.4	4411940	4412680	263.5	15.5925	FBgn0035542|FBgn0035541	2	adult_muscle	imm	92
DMEL_CRE_00300	NT_037436.4	4430820	4431360	60.7	13.1372	FBgn0000038|FBgn0035543	2	adult_muscle	imm	314
DMEL_CRE_00301	NT_037436.4	4663460	4664060	60.8	11.7055	FBgn0262870|FBgn0046793	2	adult_muscle	imm	313
DMEL_CRE_00302	NT_037436.4	4753830	4754890	1558.2	46.2496	FBgn0035574|FBgn0035571	2	adult_muscle	imm	4
DMEL_CRE_00303	NT_037436.4	5175970	5176590	68.0	10.0953	FBgn0052423|FBgn0010747	2	adult_muscle	imm	296
DMEL_CRE_00304	NT_037436.4	5720480	5721170	196.1	12.2613	FBgn0284236	1	adult_muscle	imm	132
DMEL_CRE_00305	NT_037436.4	6215820	6216470	205.2	15.8583	FBgn0002526|FBgn0047000	2	adult_muscle	imm	118
DMEL_CRE_00306	NT_037436.4	6943140	6943860	278.1	15.8506	FBgn0035719|FBgn0266961	2	adult_muscle	imm	85
DMEL_CRE_00307	NT_037436.4	6964250	6964800	66.6	12.7285	FBgn0261445|FBgn0035724	2	adult_muscle	imm	297
DMEL_CRE_00308	NT_037436.4	7218800	7219550	415.8	21.8655	FBgn0266959|FBgn0035750	2	adult_muscle	imm	44
DMEL_CRE_00309	NT_037436.4	7855190	7855780	59.4	10.3125	FBgn0016694|FBgn0052365	2	adult_muscle	imm	322
DMEL_CRE_00310	NT_037436.4	8744370	8745020	162.2	13.5706	FBgn0003149|FBgn0040828	2	adult_muscle	imm	156
DMEL_CRE_00311	NT_037436.4	8746390	8747250	669.0	26.7806	FBgn0003149|FBgn0040828	2	adult_muscle	imm	14
DMEL_CRE_00312	NT_037436.4	8952530	8953100	61.5	11.0527	FBgn0264305	1	adult_muscle	imm	309
DMEL_CRE_00313	NT_037436.4	9466930	9467580	61.1	11.1407	FBgn0266101|FBgn0036000	2	adult_muscle	imm	311
DMEL_CRE_00314	NT_037436.4	10053990	10054650	122.5	13.6893	FBgn0040823|FBgn0267538	2	adult_muscle	imm	199
DMEL_CRE_00315	NT_037436.4	10575820	10576420	120.0	12.4231	FBgn0052062|FBgn0036085	2	adult_muscle	imm	206
DMEL_CRE_00316	NT_037436.4	10673800	10674480	122.1	12.2812	FBgn0010762|FBgn0052068	2	adult_muscle	imm	202
DMEL_CRE_00317	NT_037436.4	10700550	10701190	175.6	14.3274	FBgn0036101|FBgn0047038	2	adult_muscle	imm	140
DMEL_CRE_00318	NT_037436.4	10857320	10858220	300.9	15.8103	FBgn0026160|FBgn0266679	2	adult_muscle	imm	74
DMEL_CRE_00319	NT_037436.4	11010030	11011050	554.7	19.786	FBgn0013469|FBgn0086077	2	adult_muscle	imm	22
DMEL_CRE_00320	NT_037436.4	11046300	11046880	95.7	11.87	FBgn0263776|FBgn0266594	2	adult_muscle	imm	241
DMEL_CRE_00321	NT_037436.4	11260400	11260980	98.9	12.1373	FBgn0041094|FBgn0265928	2	adult_muscle	imm	233
DMEL_CRE_00322	NT_037436.4	11383930	11384590	200.8	14.7423	FBgn0261813|FBgn0036156	2	adult_muscle	imm	129
DMEL_CRE_00323	NT_037436.4	11491730	11492450	229.8	18.6384	FBgn0036165|FBgn0028668	2	adult_muscle	imm	101
DMEL_CRE_00324	NT_037436.4	11552850	11553620	313.4	13.1979	FBgn0259481|FBgn0263569	2	adult_muscle	imm	68
DMEL_CRE_00325	NT_037436.4	12311970	12312700	332.8	16.7359	FBgn0265455	1	adult_muscle	imm	64
DMEL_CRE_00326	NT_037436.4	12691820	12692420	122.4	12.8949	FBgn0014343|FBgn0265745	2	adult_muscle	imm	200
DMEL_CRE_00327	NT_037436.4	13601050	13601610	70.3	11.9605	FBgn0264001|FBgn0266595	2	adult_muscle	imm	292
DMEL_CRE_00328	NT_037436.4	16908730	16909330	119.5	12.8405	FBgn0261565|FBgn0036676	2	adult_muscle	imm	207
DMEL_CRE_00329	NT_037436.4	17448350	17448910	87.9	15.3973	FBgn0036725|FBgn0052176	2	adult_muscle	imm	256
DMEL_CRE_00330	NT_037436.4	17590310	17591140	480.7	19.8971	FBgn0000567|FBgn0086080	2	adult_muscle	imm	30
DMEL_CRE_00331	NT_037436.4	17606600	17607300	91.5	12.1868	FBgn0000567|FBgn0036740	2	adult_muscle	imm	246
DMEL_CRE_00332	NT_037436.4	18819750	18820500	56.6	9.73001	FBgn0036814|FBgn0036815	2	adult_muscle	imm	332
DMEL_CRE_00333	NT_037436.4	18822400	18823010	99.9	12.0868	FBgn0000261|FBgn0036815	2	adult_muscle	imm	229
DMEL_CRE_00334	NT_037436.4	19234410	19235010	61.2	10.8695	FBgn0016797|FBgn0053647	2	adult_muscle	imm	310
DMEL_CRE_00335	NT_037436.4	20740190	20740750	87.5	14.4333	FBgn0037016|FBgn0045474	2	adult_muscle	imm	257
DMEL_CRE_00336	NT_037436.4	21202500	21203160	200.9	13.5383	FBgn0053056	1	adult_muscle	imm	127
DMEL_CRE_00337	NT_037436.4	21844290	21845090	130.1	11.9515	FBgn0262737|FBgn0037139	2	adult_muscle	imm	190
